Gaji_D_Id,Gaji_H_Id,Karyawan_Id,Nilai_Gaji
124,1,369,13270061
125,1,363,4788228
126,1,352,8478691
127,1,372,14550934
128,1,606,14550934
129,1,112,8478691
130,1,664,4528231
131,1,427,8478691
132,1,351,7872252
133,1,488,13270061
134,1,423,8478691
135,1,303,13270061
136,1,7,7760393
137,1,311,4528231
138,1,282,13270061
139,1,614,8002418
140,1,503,4939757
141,1,567,4528231
142,1,643,4788228
143,1,315,14550934
144,1,557,7872252
145,1,147,9471530
146,1,59,9471530
147,1,510,8002418
148,1,90,4939757
149,1,624,7872252
150,1,629,8478691
151,1,38,4788228
152,1,695,14550934
153,1,156,13270061
154,1,185,7760393
155,1,396,4528231
156,1,335,9471530
157,1,12,9471530
158,1,374,4939757
159,1,626,4528231
160,1,337,7760393
161,1,141,8478691
162,1,51,14550934
163,1,239,4939757
164,1,650,7872252
165,1,534,4528231
166,1,619,7872252
167,1,83,4528231
168,1,509,7760393
169,1,463,9471530
170,1,677,9471530
171,1,242,7760393
172,1,499,14550934
173,1,150,8478691
174,1,508,14550934
175,1,556,8002418
176,1,615,8478691
177,1,658,7760393
178,1,319,8478691
179,1,225,4528231
180,1,269,4528231
181,1,409,7760393
182,1,218,14550934
183,1,411,9471530
184,1,553,13270061
185,1,157,4939757
186,1,637,4939757
187,1,65,4528231
188,1,91,8478691
189,1,149,7872252
190,1,394,4788228
191,1,35,4528231
192,1,511,4939757
193,1,579,4528231
194,1,39,9471530
195,1,248,8002418
196,1,514,4788228
197,1,464,9471530
198,1,332,13270061
199,1,113,7872252
200,1,10,7872252
201,1,134,7760393
202,1,316,8478691
203,1,564,4528231
204,1,688,14550934
205,1,559,14550934
206,1,304,7760393
207,1,194,7760393
208,1,331,8478691
209,1,383,14550934
210,1,155,8478691
211,1,2,8002418
212,1,428,8478691
213,1,621,4939757
214,1,397,8478691
215,1,293,4939757
216,1,566,13270061
217,1,179,8478691
218,1,477,7872252
219,1,381,9471530
220,1,192,14550934
221,1,41,7872252
222,1,102,14550934
223,1,270,7872252
224,1,348,13270061
225,1,97,4528231
226,1,478,4939757
227,1,224,14550934
228,1,62,13270061
229,1,231,9471530
230,1,596,4939757
231,1,645,13270061
232,1,489,8002418
233,1,95,4939757
234,1,85,8002418
235,1,359,7872252
236,1,609,9471530
237,1,515,4528231
238,1,353,4528231
239,1,119,4528231
240,1,585,8478691
241,1,438,9471530
242,1,636,4788228
243,1,237,7760393
244,1,600,9471530
245,1,309,7760393
246,1,46,4788228
247,1,490,7872252
248,1,402,8002418
249,1,346,9471530
250,1,153,9471530
251,1,517,14550934
252,1,533,8002418
253,1,526,4939757
254,1,222,7760393
255,1,290,4528231
256,1,592,4528231
257,1,413,4528231
258,1,506,4788228
259,1,256,7872252
260,1,339,4939757
261,1,188,7872252
262,1,190,4528231
263,1,107,9471530
264,1,473,4939757
265,1,512,8002418
266,1,26,9471530
267,1,96,4939757
268,1,699,4788228
269,1,384,9471530
270,1,527,7760393
271,1,532,7760393
272,1,61,14550934
273,1,262,4939757
274,1,72,4939757
275,1,342,13270061
276,1,691,4788228
277,1,32,8478691
278,1,689,8002418
279,1,504,8478691
280,1,210,13270061
281,1,55,4939757
282,1,542,4528231
283,1,184,4788228
284,1,244,4528231
285,1,421,8478691
286,1,612,8478691
287,1,625,13270061
288,1,390,4939757
289,1,465,4788228
290,1,603,4788228
291,1,375,4528231
292,1,235,8002418
293,1,684,8002418
294,1,129,7760393
295,1,401,4939757
296,1,365,9471530
297,1,582,8478691
298,1,200,4788228
299,1,380,7760393
300,1,454,4528231
301,1,58,9471530
302,1,60,13270061
303,1,108,9471530
304,1,481,14550934
305,1,461,7872252
306,1,135,4528231
307,1,364,9471530
308,1,493,14550934
309,1,170,4788228
310,1,354,4528231
311,1,329,4528231
312,1,648,4528231
313,1,486,8478691
314,1,86,8478691
315,1,193,4528231
316,1,573,4788228
317,1,683,13270061
318,1,20,9471530
319,1,586,7760393
320,1,522,7872252
321,1,474,7872252
322,1,11,7760393
323,1,167,8478691
324,1,45,13270061
325,1,418,9471530
326,1,318,8478691
327,1,617,9471530
328,1,73,13270061
329,1,653,4528231
330,1,442,4528231
331,1,611,4788228
332,1,552,9471530
333,1,196,7760393
334,1,325,9471530
335,1,206,7872252
336,1,605,9471530
337,1,628,4939757
338,1,252,4939757
339,1,654,8478691
340,1,300,7872252
341,1,631,9471530
342,1,523,9471530
343,1,22,9471530
344,1,161,4939757
345,1,432,13270061
346,1,417,14550934
347,1,415,14550934
348,1,246,13270061
349,1,597,4939757
350,1,144,4788228
351,1,547,7872252
352,1,581,4528231
353,1,441,13270061
354,1,408,14550934
355,1,289,4939757
356,1,163,14550934
357,1,671,4939757
358,1,233,4939757
359,1,647,7760393
360,1,422,4528231
361,1,209,8002418
362,1,692,9471530
363,1,569,7872252
364,1,327,9471530
365,1,310,7760393
366,1,601,7872252
367,1,507,7760393
368,1,456,7872252
369,1,562,8002418
370,1,15,9471530
371,1,608,9471530
372,1,378,13270061
373,1,632,8478691
374,1,459,9471530
375,1,371,4528231
376,1,176,13270061
377,1,273,8002418
378,1,457,4528231
379,1,21,8478691
380,1,657,4528231
381,1,700,9471530
382,1,550,4528231
383,1,122,13270061
384,1,82,9471530
385,1,285,14550934
386,1,145,7872252
387,1,666,7872252
388,1,649,8002418
389,1,392,13270061
390,1,651,7760393
391,1,680,4528231
392,1,343,13270061
393,1,257,7872252
394,1,445,4528231
395,1,513,8002418
396,1,281,8002418
397,1,453,8002418
398,1,128,8002418
399,1,447,13270061
400,1,560,7872252
401,1,115,14550934
402,1,226,7760393
403,1,673,13270061
404,1,221,7760393
405,1,389,4528231
406,1,259,13270061
407,1,494,9471530
408,1,587,4939757
409,1,685,4528231
410,1,120,14550934
411,1,373,4939757
412,1,197,7872252
413,1,125,4528231
414,1,466,8478691
415,1,186,8002418
416,1,287,4939757
417,1,607,4939757
418,1,656,8002418
419,1,484,4939757
420,1,492,4788228
421,1,94,4788228
422,1,267,9471530
423,1,214,14550934
424,1,241,14550934
425,1,114,4788228
426,1,450,4788228
427,1,219,14550934
428,1,266,14550934
429,1,16,8002418
430,1,434,14550934
431,1,31,9471530
432,1,272,9471530
433,1,468,13270061
434,1,243,7760393
435,1,260,7760393
436,1,106,7760393
437,1,414,4788228
438,1,100,4528231
439,1,440,14550934
440,1,644,13270061
441,1,497,7872252
442,1,663,4788228
443,1,370,14550934
444,1,349,7760393
445,1,89,7872252
446,1,302,4788228
447,1,571,14550934
448,1,299,7872252
449,1,13,8478691
450,1,544,7872252
451,1,189,4788228
452,1,443,14550934
453,1,8,4788228
454,1,326,8002418
455,1,588,7760393
456,1,169,4528231
457,1,630,4939757
458,1,199,13270061
459,1,580,9471530
460,1,674,9471530
461,1,14,8478691
462,1,524,4788228
463,1,175,9471530
464,1,554,13270061
465,1,667,8478691
466,1,110,4788228
467,1,109,8002418
468,1,548,4528231
469,1,575,4939757
470,1,482,9471530
471,1,208,7872252
472,1,528,4528231
473,1,17,8478691
474,1,604,8002418
475,1,449,8002418
476,1,642,8478691
477,1,67,8478691
478,1,253,8002418
479,1,77,8002418
480,1,195,8478691
481,1,232,7872252
482,1,240,8002418
483,1,137,9471530
484,1,84,4939757
485,1,576,4528231
486,1,160,7760393
487,1,386,9471530
488,1,234,7872252
489,1,439,4528231
490,1,191,8002418
491,1,655,7760393
492,1,28,14550934
493,1,159,4939757
494,1,496,8478691
495,1,376,7872252
496,1,555,9471530
497,1,69,9471530
498,1,338,4939757
499,1,263,14550934
500,1,410,4788228
501,1,158,8002418
502,1,484,4939757
503,1,356,13270061
504,1,364,9471530
505,1,95,4939757
506,2,627,7760393
507,2,58,9471530
508,2,497,7872252
509,2,665,8002418
510,2,564,4528231
511,2,404,7872252
512,2,364,9471530
513,2,658,7760393
514,2,280,13270061
515,2,209,8002418
516,2,625,13270061
517,2,600,9471530
518,2,429,4528231
519,2,649,8002418
520,2,233,4939757
521,2,197,7872252
522,2,507,7760393
523,2,595,4788228
524,2,376,7872252
525,2,176,13270061
526,2,402,8002418
527,2,307,4788228
528,2,419,4528231
529,2,100,4528231
530,2,56,7872252
531,2,159,4939757
532,2,69,9471530
533,2,223,13270061
534,2,196,7760393
535,2,161,4939757
536,2,158,8002418
537,2,3,7872252
538,2,289,4939757
539,2,313,8478691
540,2,601,7872252
541,2,421,8478691
542,2,661,8478691
543,2,646,8478691
544,2,694,4528231
545,2,423,8478691
546,2,253,8002418
547,2,617,9471530
548,2,574,13270061
549,2,249,14550934
550,2,45,13270061
551,2,143,9471530
552,2,18,14550934
553,2,636,4788228
554,2,184,4788228
555,2,433,4528231
556,2,552,9471530
557,2,97,4528231
558,2,258,13270061
559,2,52,14550934
560,2,314,9471530
561,2,273,8002418
562,2,438,9471530
563,2,391,4788228
564,2,178,7760393
565,2,436,9471530
566,2,80,8002418
567,2,457,4528231
568,2,548,4528231
569,2,585,8478691
570,2,650,7872252
571,2,236,4788228
572,2,187,8002418
573,2,198,4528231
574,2,148,4939757
575,2,179,8478691
576,2,599,4939757
577,2,274,14550934
578,2,74,14550934
579,2,293,4939757
580,2,1,9471530
581,2,344,8478691
582,2,530,13270061
583,2,593,4939757
584,2,588,7760393
585,2,122,13270061
586,2,326,8002418
587,2,372,14550934
588,2,622,7872252
589,2,361,7760393
590,2,73,13270061
591,2,320,7760393
592,2,392,13270061
593,2,385,8478691
594,2,275,9471530
595,2,124,4528231
596,2,430,14550934
597,2,699,4788228
598,2,589,13270061
599,2,99,8002418
600,2,416,14550934
601,2,242,7760393
602,2,578,4788228
603,2,696,4528231
604,2,482,9471530
605,2,470,8478691
606,2,261,4939757
607,2,277,9471530
608,2,619,7872252
609,2,496,8478691
610,2,64,4939757
611,2,308,4528231
612,2,532,7760393
613,2,575,4939757
614,2,149,7872252
615,2,454,4528231
616,2,570,14550934
617,2,420,7872252
618,2,43,4528231
619,2,72,4939757
620,2,648,4528231
621,2,353,4528231
622,2,339,4939757
623,2,185,7760393
624,2,656,8002418
625,2,310,7760393
626,2,321,7872252
627,2,222,7760393
628,2,265,4939757
629,2,608,9471530
630,2,105,8478691
631,2,388,4939757
632,2,190,4528231
633,2,10,7872252
634,2,616,4788228
635,2,541,13270061
636,2,338,4939757
637,2,299,7872252
638,2,256,7872252
639,2,214,14550934
640,2,194,7760393
641,2,604,8002418
642,2,7,7760393
643,2,114,4788228
644,2,84,4939757
645,2,327,9471530
646,2,215,4939757
647,2,605,9471530
648,2,134,7760393
649,2,333,8478691
650,2,85,8002418
651,2,671,4939757
652,2,370,14550934
653,2,458,4528231
654,2,29,14550934
655,2,152,8002418
656,2,478,4939757
657,2,462,13270061
658,2,631,9471530
659,2,424,8002418
660,2,557,7872252
661,2,615,8478691
662,2,509,7760393
663,2,641,14550934
664,2,329,4528231
665,2,259,13270061
666,2,442,4528231
667,2,359,7872252
668,2,135,4528231
669,2,26,9471530
670,2,247,4788228
671,2,71,9471530
672,2,145,7872252
673,2,569,7872252
674,2,175,9471530
675,2,8,4788228
676,2,360,4939757
677,2,290,4528231
678,2,255,4939757
679,2,698,4528231
680,2,528,4528231
681,2,96,4939757
682,2,317,14550934
683,2,440,14550934
684,2,171,9471530
685,2,403,13270061
686,2,38,4788228
687,2,260,7760393
688,2,28,14550934
689,2,383,14550934
690,2,254,7872252
691,2,31,9471530
692,2,473,4939757
693,2,611,4788228
694,2,561,7760393
695,2,141,8478691
696,2,586,7760393
697,2,180,13270061
698,2,303,13270061
699,2,346,9471530
700,2,13,8478691
701,2,278,8478691
702,2,150,8478691
703,2,226,7760393
704,2,455,8002418
705,2,354,4528231
706,2,511,4939757
707,2,644,13270061
708,2,367,8478691
709,2,565,8478691
710,2,472,9471530
711,2,358,9471530
712,2,502,4528231
713,2,241,14550934
714,2,234,7872252
715,2,281,8002418
716,2,276,7760393
717,2,270,7872252
718,2,382,4788228
719,2,315,14550934
720,2,76,7872252
721,2,437,4788228
722,2,417,14550934
723,2,33,9471530
724,2,269,4528231
725,2,94,4788228
726,2,485,14550934
727,2,688,14550934
728,2,66,14550934
729,2,291,4528231
730,2,323,7760393
731,2,366,9471530
732,2,468,13270061
733,2,127,8002418
734,2,111,8002418
735,2,441,13270061
736,2,186,8002418
737,2,563,4528231
738,2,230,4939757
739,2,401,4939757
740,2,400,8002418
741,2,492,4788228
742,2,680,4528231
743,2,90,4939757
744,2,486,8478691
745,2,237,7760393
746,2,544,7872252
747,2,409,7760393
748,2,476,13270061
749,2,645,13270061
750,2,49,4939757
751,2,88,8002418
752,2,435,4788228
753,2,606,14550934
754,2,182,9471530
755,2,208,7872252
756,2,686,9471530
757,2,635,8002418
758,2,598,4939757
759,2,137,9471530
760,2,225,4528231
761,2,167,8478691
762,2,146,7760393
763,2,489,8002418
764,2,594,4939757
765,2,378,13270061
766,2,305,7760393
767,2,623,8002418
768,2,19,7760393
769,2,534,4528231
770,2,676,8002418
771,2,243,7760393
772,2,639,13270061
773,2,288,7760393
774,2,11,7760393
775,2,174,4788228
776,2,662,4528231
777,2,35,4528231
778,2,216,14550934
779,2,336,4939757
780,2,657,4528231
781,2,626,4528231
782,2,479,4528231
783,2,246,13270061
784,2,407,9471530
785,2,168,14550934
786,2,666,7872252
787,2,132,13270061
788,2,357,7872252
789,2,42,4528231
790,2,107,9471530
791,2,471,14550934
792,2,283,14550934
793,2,15,9471530
794,2,628,4939757
795,2,301,8002418
796,2,296,4788228
797,2,572,7760393
798,2,235,8002418
799,2,396,4528231
800,2,583,4788228
801,2,86,8478691
802,2,691,4788228
803,2,434,14550934
804,2,25,4528231
805,2,131,13270061
806,2,390,4939757
807,2,79,13270061
808,2,655,7760393
809,2,571,14550934
810,2,316,8478691
811,2,30,8002418
812,2,309,7760393
813,2,477,7872252
814,2,287,4939757
815,2,387,8478691
816,2,603,4788228
817,2,412,4528231
818,2,83,4528231
819,2,46,4788228
820,2,643,4788228
821,2,460,8002418
822,2,355,13270061
823,2,350,13270061
824,2,536,4788228
825,2,426,14550934
826,2,576,4528231
827,2,374,4939757
828,2,57,9471530
829,2,108,9471530
830,2,262,4939757
831,2,89,7872252
832,2,524,4788228
833,2,335,9471530
834,2,342,13270061
835,2,238,7872252
836,2,540,14550934
837,2,474,7872252
838,2,466,8478691
839,2,693,4528231
840,2,115,14550934
841,2,50,4939757
842,2,77,8002418
843,2,368,9471530
844,2,113,7872252
845,2,480,8478691
846,2,495,7760393
847,2,609,9471530
848,2,297,4939757
849,2,157,4939757
850,2,547,7872252
851,2,81,4788228
852,2,212,4528231
853,2,632,8478691
854,2,60,13270061
855,2,408,14550934
856,2,170,4788228
857,2,104,14550934
858,2,415,14550934
859,2,427,8478691
860,2,78,4788228
861,2,512,8002418
862,2,41,7872252
863,2,16,8002418
864,2,213,9471530
865,2,343,13270061
866,2,456,7872252
867,2,32,8478691
868,2,533,8002418
869,2,195,8478691
870,2,206,7872252
871,2,365,9471530
872,2,453,8002418
873,2,670,4788228
874,2,27,14550934
875,2,109,8002418
876,2,668,7872252
877,2,332,13270061
878,2,439,4528231
879,2,494,9471530
880,2,487,4939757
881,2,529,4528231
882,2,201,7760393
883,2,555,9471530
884,2,461,7872252
885,2,87,7872252
886,2,579,4528231
887,2,210,13270061
888,2,133,7760393
889,2,448,7760393
890,2,679,4788228
891,2,612,8478691
892,2,592,4528231
893,2,224,14550934
894,2,634,9471530
895,2,330,8002418
896,2,322,8002418
897,2,120,14550934
898,2,324,14550934
899,2,386,9471530
900,2,377,7872252
901,2,667,8478691
902,2,101,13270061
903,2,681,9471530
904,2,219,14550934
905,2,211,9471530
906,2,92,8002418
907,2,325,9471530
908,2,24,8002418
909,2,491,4788228
910,2,228,14550934
911,2,345,8002418
912,2,48,4528231
913,2,550,4528231
914,2,443,14550934
915,2,580,9471530
916,2,183,8478691
917,2,140,4788228
918,2,483,4939757
919,2,484,4939757
920,2,640,4939757
921,2,413,4528231
922,2,629,8478691
923,2,520,8478691
924,2,475,8478691
925,2,68,4788228
926,2,490,7872252
927,2,566,13270061
928,2,220,8478691
929,2,674,9471530
930,2,302,4788228
931,2,82,9471530
932,2,166,4788228
933,2,362,4939757
934,2,12,9471530
935,2,371,4528231
936,2,295,8478691
937,2,286,9471530
938,2,188,7872252
939,2,642,8478691
940,2,556,8002418
941,2,695,14550934
942,2,40,8478691
943,2,272,9471530
944,2,163,14550934
945,2,551,8478691
946,2,428,8478691
947,2,304,7760393
948,2,156,13270061
949,2,500,14550934
950,2,218,14550934
951,2,506,4788228
952,2,559,14550934
953,2,300,7872252
954,2,447,13270061
955,2,356,13270061
956,2,683,13270061
957,2,618,4788228
958,2,543,4939757
959,2,203,7760393
960,2,130,8478691
961,2,411,9471530
962,2,673,13270061
963,2,144,4788228
964,2,128,8002418
965,2,504,8478691
966,2,523,9471530
967,2,516,13270061
968,2,34,4939757
969,2,351,7872252
970,2,418,9471530
971,2,98,13270061
972,2,542,4528231
973,2,102,14550934
974,2,294,13270061
975,2,638,4528231
976,2,229,8002418
977,2,422,4528231
978,2,257,7872252
979,2,678,13270061
980,2,67,8478691
981,2,267,9471530
982,2,63,7872252
983,2,181,4939757
984,2,519,4528231
985,2,172,13270061
986,2,682,13270061
987,2,62,13270061
988,2,406,7760393
989,2,51,14550934
990,2,567,4528231
991,2,55,4939757
992,2,154,14550934
993,2,244,4528231
994,2,381,9471530
995,2,410,4788228
996,2,91,8478691
997,2,95,4939757
998,2,465,4788228
999,2,672,4788228
1000,2,539,4788228
1001,2,537,8002418
1002,2,160,7760393
1003,2,560,7872252
1004,2,545,7872252
1005,2,621,4939757
1006,2,486,8478691
1007,2,427,8478691
1008,2,296,4788228
1009,2,681,9471530
1010,2,672,4788228
1011,3,438,9471530
1012,3,498,8002418
1013,3,236,4788228
1014,3,601,7872252
1015,3,459,9471530
1016,3,695,14550934
1017,3,622,7872252
1018,3,409,7760393
1019,3,100,4528231
1020,3,407,9471530
1021,3,176,13270061
1022,3,252,4939757
1023,3,191,8002418
1024,3,249,14550934
1025,3,295,8478691
1026,3,161,4939757
1027,3,561,7760393
1028,3,184,4788228
1029,3,649,8002418
1030,3,436,9471530
1031,3,632,8478691
1032,3,410,4788228
1033,3,109,8002418
1034,3,211,9471530
1035,3,84,4939757
1036,3,525,4528231
1037,3,220,8478691
1038,3,311,4528231
1039,3,107,9471530
1040,3,612,8478691
1041,3,393,7872252
1042,3,566,13270061
1043,3,126,9471530
1044,3,34,4939757
1045,3,33,9471530
1046,3,163,14550934
1047,3,206,7872252
1048,3,648,4528231
1049,3,475,8478691
1050,3,205,14550934
1051,3,221,7760393
1052,3,291,4528231
1053,3,258,13270061
1054,3,386,9471530
1055,3,139,4939757
1056,3,487,4939757
1057,3,103,4528231
1058,3,160,7760393
1059,3,11,7760393
1060,3,464,9471530
1061,3,64,4939757
1062,3,554,13270061
1063,3,7,7760393
1064,3,667,8478691
1065,3,159,4939757
1066,3,172,13270061
1067,3,153,9471530
1068,3,254,7872252
1069,3,114,4788228
1070,3,298,13270061
1071,3,224,14550934
1072,3,515,4528231
1073,3,305,7760393
1074,3,91,8478691
1075,3,390,4939757
1076,3,599,4939757
1077,3,671,4939757
1078,3,74,14550934
1079,3,210,13270061
1080,3,133,7760393
1081,3,235,8002418
1082,3,416,14550934
1083,3,532,7760393
1084,3,8,4788228
1085,3,555,9471530
1086,3,203,7760393
1087,3,290,4528231
1088,3,144,4788228
1089,3,534,4528231
1090,3,463,9471530
1091,3,683,13270061
1092,3,430,14550934
1093,3,501,4528231
1094,3,226,7760393
1095,3,99,8002418
1096,3,233,4939757
1097,3,434,14550934
1098,3,545,7872252
1099,3,451,9471530
1100,3,257,7872252
1101,3,195,8478691
1102,3,38,4788228
1103,3,332,13270061
1104,3,138,4788228
1105,3,455,8002418
1106,3,175,9471530
1107,3,366,9471530
1108,3,182,9471530
1109,3,373,4939757
1110,3,12,9471530
1111,3,237,7760393
1112,3,689,8002418
1113,3,129,7760393
1114,3,241,14550934
1115,3,285,14550934
1116,3,541,13270061
1117,3,164,13270061
1118,3,398,7872252
1119,3,628,4939757
1120,3,124,4528231
1121,3,376,7872252
1122,3,118,7760393
1123,3,586,7760393
1124,3,591,8002418
1125,3,15,9471530
1126,3,155,8478691
1127,3,696,4528231
1128,3,78,4788228
1129,3,644,13270061
1130,3,137,9471530
1131,3,569,7872252
1132,3,2,8002418
1133,3,56,7872252
1134,3,496,8478691
1135,3,587,4939757
1136,3,551,8478691
1137,3,477,7872252
1138,3,597,4939757
1139,3,349,7760393
1140,3,531,14550934
1141,3,69,9471530
1142,3,271,7760393
1143,3,680,4528231
1144,3,442,4528231
1145,3,374,4939757
1146,3,181,4939757
1147,3,685,4528231
1148,3,152,8002418
1149,3,666,7872252
1150,3,403,13270061
1151,3,476,13270061
1152,3,518,4939757
1153,3,150,8478691
1154,3,264,9471530
1155,3,73,13270061
1156,3,549,7760393
1157,3,310,7760393
1158,3,270,7872252
1159,3,269,4528231
1160,3,384,9471530
1161,3,548,4528231
1162,3,635,8002418
1163,3,437,4788228
1164,3,479,4528231
1165,3,95,4939757
1166,3,207,9471530
1167,3,316,8478691
1168,3,165,7760393
1169,3,537,8002418
1170,3,652,8002418
1171,3,331,8478691
1172,3,424,8002418
1173,3,639,13270061
1174,3,456,7872252
1175,3,287,4939757
1176,3,20,9471530
1177,3,110,4788228
1178,3,579,4528231
1179,3,40,8478691
1180,3,53,4788228
1181,3,378,13270061
1182,3,655,7760393
1183,3,255,4939757
1184,3,633,9471530
1185,3,656,8002418
1186,3,382,4788228
1187,3,174,4788228
1188,3,567,4528231
1189,3,419,4528231
1190,3,240,8002418
1191,3,489,8002418
1192,3,619,7872252
1193,3,309,7760393
1194,3,603,4788228
1195,3,13,8478691
1196,3,177,7760393
1197,3,304,7760393
1198,3,668,7872252
1199,3,141,8478691
1200,3,365,9471530
1201,3,641,14550934
1202,3,333,8478691
1203,3,600,9471530
1204,3,686,9471530
1205,3,375,4528231
1206,3,458,4528231
1207,3,261,4939757
1208,3,187,8002418
1209,3,4,7872252
1210,3,544,7872252
1211,3,406,7760393
1212,3,509,7760393
1213,3,469,8478691
1214,3,299,7872252
1215,3,397,8478691
1216,3,646,8478691
1217,3,446,8002418
1218,3,127,8002418
1219,3,297,4939757
1220,3,75,7872252
1221,3,485,14550934
1222,3,106,7760393
1223,3,87,7872252
1224,3,558,9471530
1225,3,81,4788228
1226,3,533,8002418
1227,3,543,4939757
1228,3,197,7872252
1229,3,190,4528231
1230,3,26,9471530
1231,3,361,7760393
1232,3,467,7760393
1233,3,229,8002418
1234,3,283,14550934
1235,3,431,4528231
1236,3,21,8478691
1237,3,286,9471530
1238,3,527,7760393
1239,3,48,4528231
1240,3,700,9471530
1241,3,481,14550934
1242,3,59,9471530
1243,3,474,7872252
1244,3,196,7760393
1245,3,314,9471530
1246,3,250,4939757
1247,3,506,4788228
1248,3,454,4528231
1249,3,563,4528231
1250,3,620,8002418
1251,3,168,14550934
1252,3,25,4528231
1253,3,653,4528231
1254,3,602,13270061
1255,3,538,4528231
1256,3,369,13270061
1257,3,614,8002418
1258,3,575,4939757
1259,3,189,4788228
1260,3,627,7760393
1261,3,39,9471530
1262,3,30,8002418
1263,3,272,9471530
1264,3,388,4939757
1265,3,293,4939757
1266,3,67,8478691
1267,3,581,4528231
1268,3,440,14550934
1269,3,412,4528231
1270,3,260,7760393
1271,3,444,4939757
1272,3,120,14550934
1273,3,117,4528231
1274,3,401,4939757
1275,3,650,7872252
1276,3,158,8002418
1277,3,228,14550934
1278,3,516,13270061
1279,3,636,4788228
1280,3,132,13270061
1281,3,465,4788228
1282,3,590,7760393
1283,3,613,7760393
1284,3,429,4528231
1285,3,478,4939757
1286,3,688,14550934
1287,3,421,8478691
1288,3,63,7872252
1289,3,556,8002418
1290,3,664,4528231
1291,3,121,4788228
1292,3,499,14550934
1293,3,381,9471530
1294,3,408,14550934
1295,3,618,4788228
1296,3,156,13270061
1297,3,607,4939757
1298,3,284,4528231
1299,3,19,7760393
1300,3,77,8002418
1301,3,27,14550934
1302,3,448,7760393
1303,3,577,14550934
1304,3,357,7872252
1305,3,208,7872252
1306,3,82,9471530
1307,3,334,8002418
1308,3,289,4939757
1309,3,86,8478691
1310,3,44,4939757
1311,3,582,8478691
1312,3,414,4788228
1313,3,247,4788228
1314,3,470,8478691
1315,3,199,13270061
1316,3,266,14550934
1317,3,36,4788228
1318,3,611,4788228
1319,3,647,7760393
1320,3,169,4528231
1321,3,512,8002418
1322,3,251,4939757
1323,3,450,4788228
1324,3,362,4939757
1325,3,625,13270061
1326,3,460,8002418
1327,3,24,8002418
1328,3,145,7872252
1329,3,347,7872252
1330,3,213,9471530
1331,3,276,7760393
1332,3,699,4788228
1333,3,23,4788228
1334,3,188,7872252
1335,3,608,9471530
1336,3,112,8478691
1337,3,113,7872252
1338,3,491,4788228
1339,3,584,4939757
1340,3,302,4788228
1341,3,17,8478691
1342,3,392,13270061
1343,3,418,9471530
1344,3,380,7760393
1345,3,371,4528231
1346,3,670,4788228
1347,3,681,9471530
1348,3,105,8478691
1349,3,368,9471530
1350,3,428,8478691
1351,3,372,14550934
1352,3,76,7872252
1353,3,308,4528231
1354,3,377,7872252
1355,3,643,4788228
1356,3,142,13270061
